"","year","sex","ethnicity","drug","response"
"46",2005,"Male",NA,"Heroin","Yes"
"47",2005,"Male",NA,"Heroin","Yes"
"48",2005,"Male",NA,"Heroin","Yes"
"49",2005,"Male",NA,"Heroin","Yes"
"50",2005,"Male",NA,"Heroin","Yes"
"51",2005,"Male",NA,"Heroin","Yes"
"52",2005,"Male",NA,"Heroin","Yes"
"53",2005,"Female",NA,"Heroin","Yes"
"54",2005,"Female",NA,"Heroin","Yes"
"55",2005,"Male",NA,"Heroin","Yes"
"56",2005,"Female",NA,"Heroin","Yes"
"57",2005,"Male",NA,"Heroin","Yes"
"58",2005,"Male",NA,"Heroin","Yes"
"59",2005,"Male",NA,"Heroin","Yes"
"60",2005,"Female",NA,"Heroin","Yes"
"61",2005,"Female",NA,"Heroin","Yes"
"62",2005,"Male",NA,"Heroin","Yes"
"63",2005,"Male",NA,"Heroin","Yes"
"64",2005,"Male",NA,"Heroin","Yes"
"65",2005,"Female",NA,"Heroin","Yes"
"66",2005,"Male",NA,"Heroin","Yes"
"67",2005,"Male",NA,"Heroin","Yes"
"68",2005,"Female",NA,"Heroin","Yes"
"69",2005,"Female",NA,"Heroin","Yes"
"70",2005,"Female",NA,"Heroin","Yes"
"71",2005,"Male",NA,"Heroin","Yes"
"72",2005,"Male",NA,"Heroin","Yes"
"73",2005,"Male",NA,"Heroin","Yes"
"74",2005,"Male",NA,"Heroin","Yes"
"75",2005,"Male",NA,"Heroin","Yes"
"76",2005,"Male",NA,"Heroin","Yes"
"77",2005,"Female",NA,"Heroin","Yes"
"78",2005,"Female",NA,"Heroin","Yes"
"79",2005,"Male",NA,"Heroin","Yes"
"80",2007,"Male",NA,"Heroin","Yes"
"81",2007,"Male",NA,"Heroin","Yes"
"82",2007,"Male",NA,"Heroin","Yes"
"83",2007,"Male",NA,"Heroin","Yes"
"84",2007,"Female",NA,"Heroin","Yes"
"85",2007,"Female",NA,"Heroin","Yes"
"86",2007,"Male",NA,"Heroin","Yes"
"87",2007,"Male",NA,"Heroin","Yes"
"88",2007,"Male",NA,"Heroin","Yes"
"89",2007,"Male",NA,"Heroin","Yes"
"90",2007,"Male",NA,"Heroin","Yes"
"91",2007,"Female",NA,"Heroin","Yes"
"92",2007,"Male",NA,"Heroin","Yes"
"93",2007,"Male",NA,"Heroin","Yes"
"94",2007,"Male",NA,"Heroin","Yes"
"95",2007,"Female",NA,"Heroin","Yes"
"96",2007,"Male",NA,"Heroin","Yes"
"97",2007,"Male",NA,"Heroin","Yes"
"98",2007,"Male",NA,"Heroin","Yes"
"99",2007,"Male",NA,"Heroin","Yes"
"100",2007,"Female",NA,"Heroin","Yes"
"101",2007,"Male",NA,"Heroin","Yes"
"102",2007,"Male",NA,"Heroin","Yes"
"103",2007,"Male",NA,"Heroin","Yes"
"104",2007,"Male",NA,"Heroin","Yes"
"105",2007,"Male",NA,"Heroin","Yes"
"106",2007,"Male",NA,"Heroin","Yes"
"107",2007,"Male",NA,"Heroin","Yes"
"108",2007,"Female",NA,"Heroin","Yes"
"109",2007,"Female",NA,"Heroin","Yes"
"110",2007,"Male",NA,"Heroin","Yes"
"111",2007,"Male",NA,"Heroin","Yes"
"112",2007,"Female",NA,"Heroin","Yes"
"113",2007,"Male",NA,"Heroin","Yes"
"114",2007,"Female",NA,"Heroin","Yes"
"115",2007,"Male",NA,"Heroin","Yes"
"116",2007,"Female",NA,"Heroin","Yes"
"117",2007,"Female",NA,"Heroin","Yes"
"118",2007,"Male",NA,"Heroin","Yes"
"119",2007,"Male",NA,"Heroin","Yes"
"120",2007,"Female",NA,"Heroin","Yes"
"121",2007,"Female",NA,"Heroin","Yes"
"122",2007,"Female",NA,"Heroin","Yes"
"123",2007,"Male",NA,"Heroin","Yes"
"124",2007,"Female",NA,"Heroin","Yes"
"125",2007,"Female",NA,"Heroin","Yes"
"126",2007,"Male",NA,"Heroin","Yes"
"127",2007,"Male",NA,"Heroin","Yes"
"128",2007,"Male",NA,"Heroin","Yes"
"129",2007,"Male",NA,"Heroin","Yes"
"130",2007,"Male",NA,"Heroin","Yes"
"131",2007,"Male",NA,"Heroin","Yes"
"132",2007,"Female",NA,"Heroin","Yes"
"133",2007,"Male",NA,"Heroin","Yes"
"134",2007,"Male",NA,"Heroin","Yes"
"135",2007,"Female",NA,"Heroin","Yes"
"136",2007,"Female",NA,"Heroin","Yes"
"137",2007,"Male",NA,"Heroin","Yes"
"138",2007,"Female",NA,"Heroin","Yes"
"139",2007,"Male",NA,"Heroin","Yes"
"140",2007,"Male",NA,"Heroin","Yes"
"141",2007,"Male",NA,"Heroin","Yes"
"142",2007,"Male",NA,"Heroin","Yes"
"143",2007,"Male",NA,"Heroin","Yes"
"144",2007,"Male",NA,"Heroin","Yes"
"145",2007,"Male",NA,"Heroin","Yes"
"146",2007,"Male",NA,"Heroin","Yes"
"147",2007,"Male",NA,"Heroin","Yes"
"148",2007,"Male",NA,"Heroin","Yes"
"149",2007,"Male",NA,"Heroin","Yes"
"150",2007,"Male",NA,"Heroin","Yes"
"151",2007,"Male",NA,"Heroin","Yes"
"152",2007,"Male",NA,"Heroin","Yes"
"153",2007,"Male",NA,"Heroin","Yes"
"154",2007,"Male",NA,"Heroin","Yes"
"155",2007,"Male",NA,"Heroin","Yes"
"156",2007,"Female",NA,"Heroin","Yes"
"157",2007,"Male",NA,"Heroin","Yes"
"158",2007,"Female",NA,"Heroin","Yes"
"159",2007,"Male",NA,"Heroin","Yes"
"160",2007,"Male",NA,"Heroin","Yes"
"161",2007,"Male",NA,"Heroin","Yes"
"162",2007,"Male",NA,"Heroin","Yes"
"163",2007,"Male",NA,"Heroin","Yes"
"164",2007,"Female",NA,"Heroin","Yes"
"165",2007,"Male",NA,"Heroin","Yes"
"166",2009,"Male",NA,"Heroin","Yes"
"167",2009,"Female",NA,"Heroin","Yes"
"168",2009,"Male",NA,"Heroin","Yes"
"169",2009,"Male",NA,"Heroin","Yes"
"170",2009,"Male",NA,"Heroin","Yes"
"171",2009,"Male",NA,"Heroin","Yes"
"172",2009,"Male",NA,"Heroin","Yes"
"173",2009,"Male",NA,"Heroin","Yes"
"174",2009,"Male",NA,"Heroin","Yes"
"175",2009,"Male",NA,"Heroin","Yes"
"176",2009,"Male",NA,"Heroin","Yes"
"177",2009,"Female",NA,"Heroin","Yes"
"178",2009,"Male",NA,"Heroin","Yes"
"179",2009,"Male",NA,"Heroin","Yes"
"180",2009,"Female",NA,"Heroin","Yes"
"181",2009,"Female",NA,"Heroin","Yes"
"182",2009,"Male",NA,"Heroin","Yes"
"183",2009,"Male",NA,"Heroin","Yes"
"184",2009,"Male",NA,"Heroin","Yes"
"185",2009,"Male",NA,"Heroin","Yes"
"186",2009,"Male",NA,"Heroin","Yes"
"187",2009,"Female",NA,"Heroin","Yes"
"188",2009,"Male",NA,"Heroin","Yes"
"189",2009,"Female",NA,"Heroin","Yes"
"190",2009,"Male",NA,"Heroin","Yes"
"191",2009,"Male",NA,"Heroin","Yes"
"192",2009,"Female",NA,"Heroin","Yes"
"193",2009,"Male",NA,"Heroin","Yes"
"194",2009,"Male",NA,"Heroin","Yes"
"195",2009,"Female",NA,"Heroin","Yes"
"196",2009,"Male",NA,"Heroin","Yes"
"197",2009,"Female",NA,"Heroin","Yes"
"198",2009,"Female",NA,"Heroin","Yes"
"199",2009,"Male",NA,"Heroin","Yes"
"200",2009,"Male",NA,"Heroin","Yes"
"201",2009,"Male",NA,"Heroin","Yes"
"202",2009,"Male",NA,"Heroin","Yes"
"203",2009,"Male",NA,"Heroin","Yes"
"204",2009,"Male",NA,"Heroin","Yes"
"205",2009,"Male",NA,"Heroin","Yes"
"206",2009,"Male",NA,"Heroin","Yes"
"207",2009,"Male",NA,"Heroin","Yes"
"208",2009,"Female",NA,"Heroin","Yes"
"209",2009,"Male",NA,"Heroin","Yes"
"210",2009,"Male",NA,"Heroin","Yes"
"211",2009,"Male",NA,"Heroin","Yes"
"212",2009,"Male",NA,"Heroin","Yes"
"213",2009,"Male",NA,"Heroin","Yes"
"214",2009,"Male",NA,"Heroin","Yes"
"215",2009,"Male",NA,"Heroin","Yes"
"216",2009,"Female",NA,"Heroin","Yes"
"217",2009,"Female",NA,"Heroin","Yes"
"218",2009,"Female",NA,"Heroin","Yes"
"219",2009,"Female",NA,"Heroin","Yes"
"220",2009,"Male",NA,"Heroin","Yes"
"221",2009,"Female",NA,"Heroin","Yes"
"222",2009,"Male",NA,"Heroin","Yes"
"223",2009,"Male",NA,"Heroin","Yes"
"224",2009,"Male",NA,"Heroin","Yes"
"225",2009,"Female",NA,"Heroin","Yes"
"226",2009,"Male",NA,"Heroin","Yes"
"227",2009,"Male",NA,"Heroin","Yes"
"228",2009,"Male",NA,"Heroin","Yes"
"229",2009,"Male",NA,"Heroin","Yes"
"230",2009,"Male",NA,"Heroin","Yes"
"231",2009,"Female",NA,"Heroin","Yes"
"232",2009,"Male",NA,"Heroin","Yes"
"233",2009,"Male",NA,"Heroin","Yes"
"234",2009,"Female",NA,"Heroin","Yes"
"235",2009,"Female",NA,"Heroin","Yes"
"236",2009,"Female",NA,"Heroin","Yes"
"237",2009,"Male",NA,"Heroin","Yes"
"238",2009,"Male",NA,"Heroin","Yes"
"239",2009,"Male",NA,"Heroin","Yes"
"240",2009,"Male",NA,"Heroin","Yes"
"241",2009,"Male",NA,"Heroin","Yes"
"242",2009,"Male",NA,"Heroin","Yes"
"243",2009,"Female",NA,"Heroin","Yes"
"244",2009,"Male",NA,"Heroin","Yes"
"245",2009,"Male",NA,"Heroin","Yes"
"246",2009,"Male",NA,"Heroin","Yes"
"247",2009,"Male",NA,"Heroin","Yes"
"248",2009,"Male",NA,"Heroin","Yes"
"249",2009,"Male",NA,"Heroin","Yes"
"250",2009,"Male",NA,"Heroin","Yes"
"251",2009,"Male",NA,"Heroin","Yes"
"252",2009,"Male",NA,"Heroin","Yes"
"253",2009,"Male",NA,"Heroin","Yes"
"254",2009,"Male",NA,"Heroin","Yes"
"255",2009,"Male",NA,"Heroin","Yes"
"256",2009,"Female",NA,"Heroin","Yes"
"257",2009,"Male",NA,"Heroin","Yes"
"258",2009,"Female",NA,"Heroin","Yes"
"259",2009,"Female",NA,"Heroin","Yes"
"260",2009,"Male",NA,"Heroin","Yes"
"261",2009,"Female",NA,"Heroin","Yes"
"262",2009,"Female",NA,"Heroin","Yes"
"263",2009,"Male",NA,"Heroin","Yes"
"264",2009,"Female",NA,"Heroin","Yes"
"265",2009,"Male",NA,"Heroin","Yes"
"266",2009,"Male",NA,"Heroin","Yes"
"267",2009,"Male",NA,"Heroin","Yes"
"268",2009,"Male",NA,"Heroin","Yes"
"269",2009,"Male",NA,"Heroin","Yes"
"270",2009,"Male",NA,"Heroin","Yes"
"271",2009,"Male",NA,"Heroin","Yes"
"272",2009,"Female",NA,"Heroin","Yes"
"273",2009,"Male",NA,"Heroin","Yes"
"274",2009,"Female",NA,"Heroin","Yes"
"275",2009,"Male",NA,"Heroin","Yes"
"276",2009,"Female",NA,"Heroin","Yes"
"277",2009,"Female",NA,"Heroin","Yes"
"278",2009,"Male",NA,"Heroin","Yes"
"279",2009,"Female",NA,"Heroin","Yes"
"280",2009,"Male",NA,"Heroin","Yes"
"281",2009,"Female",NA,"Heroin","Yes"
"282",2009,"Male",NA,"Heroin","Yes"
"283",2009,"Male",NA,"Heroin","Yes"
"284",2009,"Male",NA,"Heroin","Yes"
"285",2009,"Male",NA,"Heroin","Yes"
"286",2009,"Female",NA,"Heroin","Yes"
"287",2009,"Male",NA,"Heroin","Yes"
"288",2009,"Male",NA,"Heroin","Yes"
"289",2009,"Male",NA,"Heroin","Yes"
"290",2009,"Male",NA,"Heroin","Yes"
"291",2009,"Female",NA,"Heroin","Yes"
"292",2009,"Male",NA,"Heroin","Yes"
"293",2009,"Male",NA,"Heroin","Yes"
"294",2009,"Male",NA,"Heroin","Yes"
"295",2009,"Male",NA,"Heroin","Yes"
"296",2009,"Female",NA,"Heroin","Yes"
"297",2009,"Female",NA,"Heroin","Yes"
"298",2009,"Male",NA,"Heroin","Yes"
"299",2009,"Male",NA,"Heroin","Yes"
"300",2009,"Male",NA,"Heroin","Yes"
"301",2009,"Female",NA,"Heroin","Yes"
"302",2009,"Male",NA,"Heroin","Yes"
"303",2009,"Male",NA,"Heroin","Yes"
"304",2009,"Male",NA,"Heroin","Yes"
"305",2009,"Male",NA,"Heroin","Yes"
"306",2011,"Male","Black","Heroin","Yes"
"307",2011,"Female","Black","Heroin","Yes"
"308",2011,"Male","White","Heroin","Yes"
"309",2011,"Female","White","Heroin","Yes"
"310",2011,"Male","Black","Heroin","Yes"
"311",2011,"Male","Black","Heroin","Yes"
"312",2011,"Male","White","Heroin","Yes"
"313",2011,"Female","Black","Heroin","Yes"
"314",2011,"Female","White","Heroin","Yes"
"315",2011,"Male","White","Heroin","Yes"
"316",2011,"Male","White","Heroin","Yes"
"317",2011,"Male","Black","Heroin","Yes"
"318",2011,"Female","Black","Heroin","Yes"
"319",2011,"Female","Hispanic","Heroin","Yes"
"320",2011,"Female","Black","Heroin","Yes"
"321",2011,"Female","Black","Heroin","Yes"
"322",2011,"Female","White","Heroin","Yes"
"323",2011,"Male","Black","Heroin","Yes"
"324",2011,"Male","Black","Heroin","Yes"
"325",2011,"Male","White","Heroin","Yes"
"326",2011,"Male","Hispanic","Heroin","Yes"
"327",2011,"Male","White","Heroin","Yes"
"328",2011,"Male","White","Heroin","Yes"
"329",2011,"Male","White","Heroin","Yes"
"330",2011,"Male","Black","Heroin","Yes"
"331",2011,"Female","White","Heroin","Yes"
"332",2011,"Male","Black","Heroin","Yes"
"333",2011,"Male","Other/Multiracial","Heroin","Yes"
"334",2011,"Female","White","Heroin","Yes"
"335",2011,"Male","White","Heroin","Yes"
"336",2011,"Male","White","Heroin","Yes"
"337",2011,"Male","White","Heroin","Yes"
"338",2011,"Female","White","Heroin","Yes"
"339",2011,"Male","White","Heroin","Yes"
"340",2011,"Male","White","Heroin","Yes"
"341",2011,"Male","Black","Heroin","Yes"
"342",2011,"Male","Black","Heroin","Yes"
"343",2011,"Male","Black","Heroin","Yes"
"344",2011,"Female","Black","Heroin","Yes"
"345",2011,"Female","Black","Heroin","Yes"
"346",2011,"Male","White","Heroin","Yes"
"347",2011,"Male","White","Heroin","Yes"
"348",2011,"Female","Black","Heroin","Yes"
"349",2011,"Male","Hispanic","Heroin","Yes"
"350",2011,"Male","White","Heroin","Yes"
"351",2011,"Male","Black","Heroin","Yes"
"352",2011,"Male","White","Heroin","Yes"
"353",2011,"Male","White","Heroin","Yes"
"354",2011,"Male","Hispanic","Heroin","Yes"
"355",2011,"Female","White","Heroin","Yes"
"356",2011,"Male","Hispanic","Heroin","Yes"
"357",2011,"Female","White","Heroin","Yes"
"358",2011,"Male","Hispanic","Heroin","Yes"
"359",2011,"Male","White","Heroin","Yes"
"360",2011,"Male","Black","Heroin","Yes"
"361",2011,"Female","Black","Heroin","Yes"
"362",2011,"Female","Black","Heroin","Yes"
"363",2011,"Female","Black","Heroin","Yes"
"364",2011,"Male","Hispanic","Heroin","Yes"
"365",2011,"Male","White","Heroin","Yes"
"366",2011,"Female","Other/Multiracial","Heroin","Yes"
"367",2011,"Male","Black","Heroin","Yes"
"368",2011,"Female","White","Heroin","Yes"
"369",2011,"Female","White","Heroin","Yes"
"370",2011,"Female","White","Heroin","Yes"
"371",2011,"Male","White","Heroin","Yes"
"372",2011,"Female","White","Heroin","Yes"
"373",2011,"Male","White","Heroin","Yes"
"374",2011,"Male","Asian","Heroin","Yes"
"375",2011,"Female","Black","Heroin","Yes"
"376",2011,"Male","Black","Heroin","Yes"
"377",2011,"Male","White","Heroin","Yes"
"378",2011,"Male","White","Heroin","Yes"
"379",2011,"Male","White","Heroin","Yes"
"380",2011,"Male","Black","Heroin","Yes"
"381",2011,"Male","Hispanic","Heroin","Yes"
"382",2011,"Female","Black","Heroin","Yes"
"383",2011,"Male","White","Heroin","Yes"
"384",2011,"Male","Hispanic","Heroin","Yes"
"385",2011,"Male","Black","Heroin","Yes"
"386",2011,"Male","Hispanic","Heroin","Yes"
"387",2011,"Female","Black","Heroin","Yes"
"388",2011,"Male","Hispanic","Heroin","Yes"
"389",2011,"Male","Black","Heroin","Yes"
"390",2013,"Female","White","Heroin","Yes"
"391",2013,"Female","Black","Heroin","Yes"
"392",2013,"Male","White","Heroin","Yes"
"393",2013,"Male","White","Heroin","Yes"
"394",2013,"Male","Other/Multiracial","Heroin","Yes"
"395",2013,"Female","White","Heroin","Yes"
"396",2013,"Female","Black","Heroin","Yes"
"397",2013,"Male","Black","Heroin","Yes"
"398",2013,"Male","Asian","Heroin","Yes"
"399",2013,"Male","Black","Heroin","Yes"
"400",2013,"Female","White","Heroin","Yes"
"401",2013,"Female","Black","Heroin","Yes"
"402",2013,"Male","White","Heroin","Yes"
"403",2013,"Male","White","Heroin","Yes"
"404",2013,"Male","White","Heroin","Yes"
"405",2013,"Male","White","Heroin","Yes"
"406",2013,"Male","Black","Heroin","Yes"
"407",2013,"Female","White","Heroin","Yes"
"408",2013,"Male","White","Heroin","Yes"
"409",2013,"Male","White","Heroin","Yes"
"410",2013,"Female","White","Heroin","Yes"
"411",2013,"Male","White","Heroin","Yes"
"412",2013,"Female","Hispanic","Heroin","Yes"
"413",2013,"Female","White","Heroin","Yes"
"414",2013,"Female","White","Heroin","Yes"
"415",2013,"Male","Hispanic","Heroin","Yes"
"416",2013,"Male","White","Heroin","Yes"
"417",2013,"Male","White","Heroin","Yes"
"418",2013,"Male","White","Heroin","Yes"
"419",2013,"Male","Hispanic","Heroin","Yes"
"420",2013,"Male","White","Heroin","Yes"
"421",2013,"Male","Black","Heroin","Yes"
"422",2013,"Male","White","Heroin","Yes"
"423",2013,"Male","Hispanic","Heroin","Yes"
"424",2013,"Male","Black","Heroin","Yes"
"425",2013,"Male","White","Heroin","Yes"
"426",2013,"Female","White","Heroin","Yes"
"427",2013,"Male","White","Heroin","Yes"
"428",2013,"Male","Black","Heroin","Yes"
"429",2013,"Male","Black","Heroin","Yes"
"430",2013,"Male","Hispanic","Heroin","Yes"
"431",2013,"Male","White","Heroin","Yes"
"432",2013,"Female","White","Heroin","Yes"
"433",2013,"Male","Hispanic","Heroin","Yes"
"434",2013,"Female","Black","Heroin","Yes"
"435",2013,"Male","Hispanic","Heroin","Yes"
"436",2013,"Male","Hispanic","Heroin","Yes"
"437",2013,"Male","Black","Heroin","Yes"
"438",2013,"Female","White","Heroin","Yes"
"439",2013,"Male","Black","Heroin","Yes"
"440",2013,"Male","Black","Heroin","Yes"
"441",2013,"Male","Black","Heroin","Yes"
"442",2013,"Male","White","Heroin","Yes"
"443",2013,"Male","Asian","Heroin","Yes"
"444",2013,"Female","Black","Heroin","Yes"
"445",2013,"Male","White","Heroin","Yes"
"446",2013,"Female","Hispanic","Heroin","Yes"
"447",2013,"Female","White","Heroin","Yes"
"448",2013,"Male","Black","Heroin","Yes"
"449",2013,"Female","Hispanic","Heroin","Yes"
"450",2013,"Male","White","Heroin","Yes"
"451",2013,"Male","Black","Heroin","Yes"
"452",2013,"Female","Hispanic","Heroin","Yes"
"453",2013,"Male","Hispanic","Heroin","Yes"
"454",2013,"Female","Hispanic","Heroin","Yes"
"455",2013,"Female","White","Heroin","Yes"
"456",2013,"Male","White","Heroin","Yes"
"457",2013,"Male","Black","Heroin","Yes"
"458",2013,"Male","White","Heroin","Yes"
"459",2013,"Female","White","Heroin","Yes"
"460",2013,"Male","Black","Heroin","Yes"
"461",2013,"Male","Hispanic","Heroin","Yes"
"462",2013,"Female","White","Heroin","Yes"
"463",2013,"Male","White","Heroin","Yes"
"464",2013,"Female","Hispanic","Heroin","Yes"
"465",2013,"Male","White","Heroin","Yes"
"466",2013,"Female","White","Heroin","Yes"
"467",2013,"Male","White","Heroin","Yes"
"468",2013,"Male","White","Heroin","Yes"
"469",2013,"Male","Hispanic","Heroin","Yes"
"470",2013,"Male","Hispanic","Heroin","Yes"
"471",2013,"Female","White","Heroin","Yes"
"472",2013,"Female","White","Heroin","Yes"
"473",2013,"Male","White","Heroin","Yes"
"474",2013,"Female","Black","Heroin","Yes"
"475",2013,"Male","Black","Heroin","Yes"
"476",2013,"Female","Other/Multiracial","Heroin","Yes"
"477",2013,"Female","White","Heroin","Yes"
"478",2013,"Male","Hispanic","Heroin","Yes"
"479",2013,"Male","White","Heroin","Yes"
"480",2013,"Female","White","Heroin","Yes"
"481",2013,"Male","White","Heroin","Yes"
"482",2013,"Male","White","Heroin","Yes"
"483",2013,"Male","White","Heroin","Yes"
"484",2013,"Male","Other/Multiracial","Heroin","Yes"
"485",2013,"Male","White","Heroin","Yes"
"486",2013,"Male","White","Heroin","Yes"
"487",2013,"Male","Black","Heroin","Yes"
"488",2013,"Male","White","Heroin","Yes"
"489",2013,"Female","Black","Heroin","Yes"
"490",2013,"Male","Hispanic","Heroin","Yes"
"491",2013,"Male","White","Heroin","Yes"
"492",2013,"Male","Black","Heroin","Yes"
"493",2013,"Male","Hispanic","Heroin","Yes"
"494",2013,"Male","White","Heroin","Yes"
"495",2013,"Female","White","Heroin","Yes"
"496",2013,"Female","Hispanic","Heroin","Yes"
"497",2013,"Male","Hispanic","Heroin","Yes"
"498",2013,"Male","Black","Heroin","Yes"
"499",2013,"Female","White","Heroin","Yes"
"500",2015,"Male","Hispanic","Heroin","Yes"
"501",2015,"Male","Hispanic","Heroin","Yes"
"502",2015,"Male","Black","Heroin","Yes"
"503",2015,"Male","White","Heroin","Yes"
"504",2015,"Male","Hispanic","Heroin","Yes"
"505",2015,"Male","White","Heroin","Yes"
"506",2015,"Male","Black","Heroin","Yes"
"507",2015,"Female","Other/Multiracial","Heroin","Yes"
"508",2015,"Female","Asian","Heroin","Yes"
"509",2015,"Male","White","Heroin","Yes"
"510",2015,"Male","White","Heroin","Yes"
"511",2015,"Male","White","Heroin","Yes"
"512",2015,"Male","Black","Heroin","Yes"
"513",2015,"Male","Black","Heroin","Yes"
"514",2015,"Male","Black","Heroin","Yes"
"515",2015,"Female","White","Heroin","Yes"
"516",2015,"Male","Black","Heroin","Yes"
"517",2015,"Male","Hispanic","Heroin","Yes"
"518",2015,"Male","White","Heroin","Yes"
"519",2015,"Male","Black","Heroin","Yes"
"520",2015,"Female","White","Heroin","Yes"
"521",2015,"Male","Hispanic","Heroin","Yes"
"522",2015,"Male","Black","Heroin","Yes"
"523",2015,"Male","Hispanic","Heroin","Yes"
"524",2015,"Male","Black","Heroin","Yes"
"525",2015,"Male","Black","Heroin","Yes"
"526",2015,"Male","White","Heroin","Yes"
"527",2015,"Male","Hispanic","Heroin","Yes"
"528",2015,"Male","Black","Heroin","Yes"
"529",2015,"Male","Other/Multiracial","Heroin","Yes"
"530",2015,"Female","White","Heroin","Yes"
"531",2015,"Female","White","Heroin","Yes"
"532",2015,"Female","Black","Heroin","Yes"
"533",2015,"Male","White","Heroin","Yes"
"534",2015,"Female","White","Heroin","Yes"
"535",2015,"Female","Hispanic","Heroin","Yes"
"536",2015,"Male","White","Heroin","Yes"
"537",2015,"Female","Black","Heroin","Yes"
"538",2015,"Female","White","Heroin","Yes"
"539",2015,"Male","Hispanic","Heroin","Yes"
"540",2015,"Female","White","Heroin","Yes"
"541",2015,"Male","Black","Heroin","Yes"
"542",2015,"Male","Hispanic","Heroin","Yes"
"543",2015,"Male","White","Heroin","Yes"
"544",2015,"Male","Black","Heroin","Yes"
"545",2015,"Male","Other/Multiracial","Heroin","Yes"
"546",2015,"Male","Black","Heroin","Yes"
"547",2015,"Male","Black","Heroin","Yes"
"548",2015,"Male","White","Heroin","Yes"
"549",2015,"Male","White","Heroin","Yes"
"550",2015,"Female","Hispanic","Heroin","Yes"
"551",2015,"Female","Black","Heroin","Yes"
"552",2015,"Male","White","Heroin","Yes"
"553",2015,"Male","White","Heroin","Yes"
"554",2015,"Female","White","Heroin","Yes"
"555",2015,"Male","Asian","Heroin","Yes"
"556",2015,"Male","Hispanic","Heroin","Yes"
"557",2015,"Male","Hispanic","Heroin","Yes"
"558",2015,"Female","White","Heroin","Yes"
"559",2015,"Female","White","Heroin","Yes"
"560",2015,"Female","White","Heroin","Yes"
"561",2015,"Male","Hispanic","Heroin","Yes"
"562",2015,"Female","Black","Heroin","Yes"
"563",2015,"Male","White","Heroin","Yes"
"564",2015,"Male","White","Heroin","Yes"
"565",2015,"Male","White","Heroin","Yes"
"566",2015,"Male","White","Heroin","Yes"
"567",2015,"Male","Other/Multiracial","Heroin","Yes"
"568",2015,"Male","Black","Heroin","Yes"
"569",2015,"Female","White","Heroin","Yes"
"570",2015,"Female","Other/Multiracial","Heroin","Yes"
"571",2015,"Male","Black","Heroin","Yes"
"572",2015,"Male","White","Heroin","Yes"
"573",2015,"Male","White","Heroin","Yes"
"574",2015,"Male","White","Heroin","Yes"
"575",2015,"Male","White","Heroin","Yes"
"576",2015,"Female","Black","Heroin","Yes"
"577",2015,"Male","Hispanic","Heroin","Yes"
"578",2015,"Female","White","Heroin","Yes"
"579",2015,"Male","Black","Heroin","Yes"
"580",2015,"Male","White","Heroin","Yes"
"581",2015,"Male","Hispanic","Heroin","Yes"
"582",2015,"Male","Black","Heroin","Yes"
"583",2015,"Male","Hispanic","Heroin","Yes"
"584",2015,"Male","White","Heroin","Yes"
"585",2015,"Male","Black","Heroin","Yes"
"586",2015,"Female","White","Heroin","Yes"
"587",2015,"Male","White","Heroin","Yes"
"588",2005,"Female",NA,"Cocaine","Yes"
"589",2005,"Male",NA,"Cocaine","Yes"
"590",2005,"Female",NA,"Cocaine","Yes"
